ticket_number,total_ticket
151292.0,1.5
151293.0,1.2
151294.0,2.5
151295.0,1.2
151296.0,1.2
151297.0,6.3
151298.0,3.1
151299.0,1.5
151300.0,2.1
151301.0,11.25
151302.0,3.65
151303.0,4.9
151304.0,4.6
151305.0,1.05
151306.0,1.2
151307.0,2.3
151308.0,3.0
151309.0,8.0
151310.0,4.8
151311.0,1.2
151312.0,1.2
151313.0,9.4
151314.0,4.95
151315.0,2.3
151316.0,9.2
151317.0,11.6
151318.0,14.7
151319.0,2.4
151320.0,2.4
151321.0,3.5999999999999996
151322.0,22.4
151323.0,2.4
151324.0,10.4
151325.0,0.9
151326.0,1.2
151327.0,0.9
151328.0,9.2
151329.0,12.8
151330.0,2.4
151331.0,1.5
151332.0,11.7
151333.0,1.2
151334.0,8.0
151335.0,12.0
151336.0,2.8
151337.0,1.2
151338.0,5.6
151339.0,6.300000000000001
151340.0,3.5999999999999996
151341.0,2.7
151342.0,2.4
151343.0,2.4
151344.0,2.3
151345.0,1.2
151346.0,1.05
151347.0,2.5
151348.0,1.8
151349.0,2.1
151350.0,2.4
151351.0,2.8
151352.0,2.1
151353.0,3.3
151354.0,8.9
151355.0,2.1
151356.0,11.6
151357.0,2.5
151358.0,1.8
151359.0,3.0
151360.0,1.4
151361.0,1.2
151362.0,10.5
151363.0,17.5
151364.0,1.2
151365.0,1.4
151366.0,2.4
151367.0,1.2
151368.0,2.4
151369.0,1.2
151370.0,0.9
151371.0,1.3
151372.0,10.4
151373.0,13.2
151374.0,2.4
151375.0,2.4
151376.0,2.4
151377.0,6.3999999999999995
151378.0,1.9500000000000002
151379.0,0.9
151380.0,8.0
151381.0,1.2
151382.0,1.25
151383.0,13.05
151384.0,1.3
151385.0,5.75
151386.0,1.9500000000000002
151387.0,0.9
151388.0,16.0
151389.0,1.05
151390.0,1.05
151391.0,1.05
151392.0,5.1
151393.0,1.4
151394.0,3.2
151396.0,2.4
151397.0,0.9
151398.0,4.8
151399.0,3.8
151400.0,2.4
151401.0,1.2
151402.0,1.7999999999999998
151403.0,7.199999999999999
151404.0,2.3
151405.0,3.1
151406.0,0.9
151407.0,2.3
151408.0,2.4
151409.0,0.9
151410.0,4.2
151411.0,0.6
151412.0,2.4
151413.0,2.3
151414.0,1.65
151415.0,0.9
151416.0,1.15
151417.0,1.2
151418.0,3.4000000000000004
151419.0,7.1
151420.0,0.6
151421.0,1.2
151422.0,1.5
151423.0,1.05
151424.0,2.4
151425.0,7.5
151426.0,6.35
151427.0,1.2
151428.0,5.1000000000000005
151429.0,2.1
151430.0,0.9
151431.0,3.55
151432.0,1.05
151433.0,4.8
151434.0,2.4
151435.0,0.9
151436.0,1.1
151437.0,1.05
151438.0,3.6
151439.0,3.2
151440.0,6.05
151441.0,2.3
151442.0,1.5
151443.0,6.5
151444.0,9.1
151445.0,2.1500000000000004
151446.0,1.65
151447.0,4.2
151448.0,0.9
151449.0,4.2
151450.0,1.25
151451.0,11.4
151452.0,3.3000000000000003
151453.0,0.9
151454.0,1.2
151455.0,1.2
151456.0,9.95
151457.0,1.05
151458.0,1.15
151459.0,3.5999999999999996
151460.0,2.4
151461.0,6.5
151462.0,3.0
151463.0,1.4
151464.0,1.2
151465.0,1.5
151466.0,1.8
151467.0,1.2
151468.0,1.1
151469.0,2.4
151470.0,1.05
151471.0,0.9
151472.0,6.5
151473.0,1.2
151474.0,1.2
151475.0,1.5
151477.0,7.7
151478.0,1.2
151479.0,2.4
151480.0,2.1
151481.0,1.2
151482.0,4.5
151483.0,1.2
151484.0,1.2
151485.0,6.5
